longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value_binary
-117.96,34.3,11,3137,379,467,577,2.0625,high
-120.36,33.94,52,1464,1911,1414,772,2.75,high
-122.27,33.92,7,2739,120,4649,618,3.5444,high
-118.37,34.64,36,1722,139,1062,258,3.2391,low
-118.75,34.11,34,4419,662,171,396,2.0433,high
-121.92,33.62,36,1936,181,1952,93,5.6358,low
-118.32,34.1,31,1007,717,870,879,3.599,high
-118.12,38.0,35,1827,512,1317,329,5.0838,high
-117.84,38.27,9,3971,536,1171,1100,3.7238,low
-122.7,36.81,24,1476,314,500,187,11.5199,low
-118.12,38.54,15,1867,209,24,773,7.6709,low
-121.91,34.28,41,5444,707,1016,626,2.9539,low
-118.34,37.98,52,2127,854,1212,297,4.625,low
-118.36,33.86,36,1209,244,2533,572,4.1375,low
-118.04,37.28,21,4632,161,689,244,3.0766,low
-122.43,41.15,35,931,592,1833,321,7.898,high
-118.29,37.63,46,1062,316,1569,287,1.8656,high
-118.25,34.71,12,1150,580,1009,863,4.875,low
-118.39,34.18,33,3584,490,4614,4,2.875,high
-118.13,37.38,39,484,447,890,326,1.7238,low
-118.37,34.06,33,2635,971,946,95,2.8672,high
-118.43,33.98,5,1688,189,908,260,3.25,high
-118.32,36.33,27,1431,518,614,254,4.105,low
-117.9,33.79,35,6838,285,1669,156,5.4536,low
-118.25,33.82,47,1763,232,1359,115,5.5469,low
-122.46,40.57,13,4988,209,1038,401,3.7366,low
-118.98,34.15,46,2128,197,2272,266,3.2847,low
-121.32,35.34,44,2176,311,1300,1200,2.1615,high
-120.56,32.92,17,1868,1470,194,1287,2.1658,low
-120.97,34.01,20,1591,240,699,457,3.4698,high
-122.97,33.99,34,9531,449,2806,428,5.8408,low
-118.25,38.5,26,1542,275,898,411,2.6312,low
-119.25,33.93,20,174,175,521,775,2.1162,high
-124.35,33.11,50,416,597,3078,763,5.7512,low
-122.46,33.9,45,3364,255,1259,618,4.7813,low
-117.02,33.88,47,886,526,1345,1444,3.1979,low
-122.0,38.53,5,3635,387,721,335,5.9806,high
-118.26,33.51,18,3619,311,470,977,3.7917,high
-118.07,34.08,34,845,1759,557,653,3.0833,low
-116.94,33.75,9,1777,276,1367,385,4.25,high
-118.11,37.61,8,2307,312,1266,301,2.225,high
-121.0,38.55,4,3379,1657,1951,395,5.9196,high
-119.35,37.73,24,116,949,643,303,1.473,high
-117.66,37.72,18,3983,652,3132,390,1.7064,high
-118.59,33.9,48,1513,147,778,436,7.139,high
-124.23,33.04,27,1475,81,530,218,3.8571,low
-120.85,40.45,13,5613,696,2321,414,5.3072,high
-122.57,37.55,38,4413,370,3329,800,4.2262,high
-117.96,33.93,27,1887,903,519,312,5.0,low
-118.47,33.82,22,2596,283,275,560,4.0231,low
