longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value_binary
-117.73,38.65,26,2835,59,696,659,2.9087,low
-118.14,34.26,16,2045,623,11956,135,3.7261,low
-117.58,37.72,11,4930,450,1075,334,3.4184,high
-118.08,39.1,2,5873,1559,1221,530,2.1293,high
-117.07,38.43,36,5761,925,1726,280,7.7799,high
-120.79,38.44,33,1566,635,1343,606,2.25,low
-117.0,37.89,23,2979,1241,1319,874,3.5859,low
-118.3,34.11,16,3194,324,1066,357,3.15,high
-117.01,34.0,52,2711,206,1730,488,8.2953,low
-117.46,37.53,32,3486,435,1724,344,1.448,high
-122.34,33.64,22,12139,248,1189,843,3.275,low
-119.2,32.72,52,7982,301,1061,1483,2.25,low
-121.78,37.29,35,1818,446,1619,258,3.4559,low
-117.33,38.58,16,936,119,489,468,4.1483,low
-122.45,32.75,32,1726,603,969,287,3.875,low
-117.66,38.74,2,8399,354,3166,330,2.0972,low
-116.22,38.52,18,3913,548,1082,99,7.5552,high
-118.01,38.63,43,5151,435,231,485,3.5551,low
-118.56,38.66,52,1673,587,1784,301,5.6392,low
-117.31,37.41,32,2672,3945,517,522,4.5125,high
-117.87,36.3,30,3522,625,2541,303,8.7783,low
-118.5,37.38,22,1883,554,972,463,3.692,high
-122.28,34.73,19,2014,434,1276,123,1.8125,low
-123.38,34.26,35,1780,603,5674,557,2.0185,low
-122.17,38.54,29,789,1796,810,146,1.7616,high
-121.78,36.32,52,2045,516,1066,249,15.0001,low
-121.06,34.1,17,4741,1054,1177,260,3.2643,low
-121.73,35.08,52,3610,255,504,230,4.0345,low
-122.16,33.79,16,6383,473,1035,238,1.9509,low
-116.22,38.28,52,5496,312,1086,243,2.8175,low
-118.3,37.95,18,3196,478,932,221,15.0001,low
-122.48,36.97,52,343,607,1337,287,2.25,high
-118.39,33.87,31,1173,270,1718,193,3.81,high
-119.73,32.85,19,1787,468,1410,308,1.5625,high
-119.03,38.12,52,4942,584,1234,380,5.2642,high
-116.05,37.57,52,2414,922,519,543,1.9267,low
-117.74,32.72,18,1157,317,2216,46,4.0484,low
-117.62,37.87,34,989,605,686,361,6.083,low
-118.44,33.64,52,1784,641,769,666,5.5221,high
-118.05,34.43,35,2996,806,425,501,7.7517,high
-118.68,35.36,52,1013,312,1989,361,4.3523,high
-117.04,32.72,16,3964,416,394,314,3.3536,low
-118.06,32.8,17,5524,62,991,596,2.2381,high
-117.27,33.82,2,4676,553,1699,244,6.3516,high
-118.44,34.08,39,811,237,3403,348,6.887,high
-119.29,32.81,52,2049,783,1303,160,2.4688,low
-120.98,36.32,48,2515,285,1337,482,2.25,high
