longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value_binary
-122.18,32.75,15,6009,348,3979,845,2.625,low
-117.07,36.91,25,3184,626,1615,350,2.5625,low
-121.21,37.97,33,2583,565,1171,180,4.0631,high
-122.36,33.69,45,6338,346,1063,415,7.1837,low
-117.82,39.21,15,1018,191,465,2116,2.6087,low
-121.27,33.69,14,2839,317,1767,382,3.4333,high
-117.55,37.85,16,1741,314,1830,711,2.6058,low
-117.37,35.54,24,1437,360,3920,295,7.7201,low
-120.97,37.55,33,2554,299,66,279,2.425,high
-118.16,33.78,17,1962,628,1737,190,4.7208,low
-119.8,32.86,22,876,470,37,238,2.2027,high
-119.71,37.63,21,290,781,545,152,4.175,high
-117.65,32.75,15,3326,632,856,618,4.8862,low
-117.15,33.79,44,1669,477,2389,398,1.3867,low
-121.11,33.78,43,1687,300,846,839,7.2477,low
-121.92,32.71,52,1521,389,160,612,1.775,low
-118.3,34.04,16,1288,372,1149,264,4.0118,high
-118.23,34.05,42,2263,235,1464,595,6.5483,low
-121.92,32.78,16,11444,1082,824,397,5.5456,low
-117.81,40.82,47,1923,2634,665,464,2.5917,low
-118.24,37.81,21,244,416,1165,345,5.2299,high
-117.85,35.63,15,2929,507,986,57,4.7083,high
-118.27,34.05,15,918,339,1117,863,3.066,low
-117.33,37.92,12,515,2873,1224,434,7.7752,high
-116.63,34.42,32,2370,546,813,470,1.721,low
-117.23,34.24,30,2341,410,883,187,2.4206,high
-121.9,37.9,48,2515,380,2227,970,4.4688,high
-117.18,37.76,18,475,579,299,400,2.625,low
-117.62,41.48,34,3022,1902,4936,454,1.2273,low
-121.47,33.93,8,5561,263,703,301,5.6637,low
-120.98,33.24,52,3883,569,966,520,4.5744,low
-118.0,34.05,19,4644,1744,1916,328,3.7557,high
-117.44,36.98,48,1080,327,699,614,1.5613,high
-116.2,34.24,22,6964,163,848,1625,2.2132,low
-116.5,34.01,38,2373,537,781,270,1.3302,low
-121.92,39.49,52,1477,513,2300,317,2.5924,low
-119.04,37.77,20,6016,249,1086,372,10.7372,low
-118.15,34.12,27,1961,328,244,448,5.9062,low
-121.92,33.68,33,1640,445,1763,254,3.3289,high
-122.26,37.33,20,3603,565,979,439,3.5902,high
-118.32,34.16,43,1786,528,3688,1880,5.035,high
-122.44,33.2,27,1243,306,1194,457,2.0353,low
-122.25,38.07,52,1156,238,927,472,4.9312,high
-118.56,37.31,31,1612,522,1003,16,5.6411,high
-122.49,37.86,52,1664,277,817,709,4.9327,high
-121.32,33.63,52,1889,255,1128,631,1.7694,low
-119.6,37.42,45,2692,346,3760,216,3.75,low
-118.4,37.26,35,1989,2819,989,1137,3.3479,low
-117.94,33.98,52,2867,44,973,187,3.1049,low
-122.36,34.2,31,4439,428,1443,291,4.2083,high
-118.4,33.99,42,2023,2628,2272,603,0.7403,high
-119.82,35.34,21,9798,548,735,339,3.6201,high
-118.47,37.47,30,756,612,1491,282,3.5865,high
-117.93,37.32,35,4049,573,1215,1393,4.6863,low
-122.04,37.58,35,2558,282,2466,283,3.7932,high
-121.29,35.37,29,1051,366,710,723,2.6167,low
-115.72,34.08,23,718,304,541,249,2.3042,low
-120.85,37.59,23,1024,733,1187,230,4.0982,low
-121.45,36.77,33,1364,1558,990,315,1.9926,high
-117.66,32.82,31,1065,333,824,361,5.9214,high
-117.66,37.54,43,1290,973,4818,169,3.3068,low
-122.25,34.44,32,3470,238,1494,263,4.0049,low
-117.64,33.61,21,1549,261,1186,157,2.0437,low
-122.75,37.79,9,674,99,2389,309,2.2844,high
-117.2,36.52,45,2788,365,2319,459,3.522,low
-122.39,33.88,24,661,443,1513,291,10.2252,high
-117.4,33.92,52,2442,81,805,405,3.0273,low
-117.18,37.27,24,4505,823,3250,121,2.6842,high
-118.13,33.69,25,1153,612,634,302,3.0789,low
-122.24,33.19,21,3000,396,2261,317,2.5455,high
-122.07,38.68,29,4410,389,1244,1033,6.5635,low
-119.79,38.62,39,2466,2000,1085,557,4.8096,high
-122.27,34.42,21,2385,502,2306,617,4.2188,low
-120.42,37.68,21,937,1152,4601,415,5.1519,low
-121.92,34.01,25,1086,462,614,315,2.0437,high
-118.2,34.06,18,1864,771,871,234,4.6667,high
-122.86,34.29,18,1958,326,2491,268,7.7197,high
-122.1,37.87,35,5471,372,2917,452,5.8625,low
-122.26,37.32,38,8562,557,2130,209,2.8807,low
-119.03,33.74,39,2638,362,314,285,3.9943,high
-117.76,38.26,31,7357,423,786,571,1.9851,low
-118.38,33.18,36,2809,396,1198,769,7.2893,low
-122.85,34.87,38,1145,316,307,346,0.7069,high
-118.19,33.51,4,2864,627,728,233,1.9688,low
-121.97,37.99,24,1521,661,1615,121,1.7857,high
-118.43,37.98,30,1082,1369,1167,218,3.4937,high
-118.08,33.21,38,1795,511,3328,798,4.7717,high
-122.45,34.24,31,1011,238,243,229,5.1391,high
