longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value_binary
-118.26,34.04,34,6042,1146,450,386,2.0775,low
-122.43,34.14,31,1733,276,727,101,6.7867,low
-122.69,33.93,39,2628,247,119,1527,1.3062,low
-121.39,36.54,21,613,1791,2768,123,4.7279,high
-122.27,33.93,36,2027,406,458,426,5.6876,high
-122.27,34.22,19,7554,1569,7087,519,6.0,high
-118.36,34.42,41,3175,284,1423,623,6.3923,low
-116.76,34.04,22,3734,331,901,1439,2.8036,high
-122.53,34.14,39,1121,286,1486,254,2.9141,low
-118.36,37.76,21,5923,290,128,229,1.9138,low
-117.93,33.97,39,1703,270,836,420,5.8659,low
-118.08,33.97,19,4919,271,2464,297,2.3851,high
-122.67,34.08,5,14275,172,9671,2329,3.2176,high
-119.36,40.14,19,2406,824,446,165,2.5993,high
-118.25,33.83,16,6909,1211,9671,420,9.3586,low
-117.91,33.79,37,2451,280,1412,268,6.6539,low
-117.9,37.36,41,3080,2473,1805,480,4.9292,high
-118.15,34.16,21,5805,989,748,483,2.9811,high
-122.42,33.88,37,1125,2118,6133,1341,7.652,high
-118.36,33.87,44,2416,472,910,586,2.5437,high
-118.22,34.19,36,1709,331,426,310,4.8667,high
-118.16,33.93,22,1260,209,666,420,2.7344,low
-121.98,35.38,24,227,444,291,368,3.1107,high
-117.94,36.02,44,3147,409,837,242,1.9549,high
-117.31,34.11,39,1125,406,2133,297,4.2985,high
-118.88,34.03,44,2631,1461,1135,2437,4.642,low
-122.41,41.92,37,2028,152,1544,209,2.5506,low
-117.41,33.87,19,223,243,1039,247,2.3266,high
-122.04,34.09,24,7544,306,2315,263,5.4032,low
-117.09,33.79,38,3865,444,1654,397,3.3616,high
-118.34,34.16,23,1530,14,2316,2060,4.39,low
-118.31,34.05,44,2015,723,1412,451,4.0524,low
-117.99,33.75,36,1277,222,805,457,2.2409,high
-118.41,33.77,46,2039,6,2179,317,7.1264,high
-120.46,34.14,37,6804,184,1446,280,7.5274,low
-118.69,33.75,19,10774,1637,4436,753,5.8305,high
-118.15,34.09,19,1464,361,2422,297,5.3344,high
-118.24,34.04,37,6525,1744,1478,295,3.225,high
-118.29,33.88,44,4999,292,4579,619,2.7685,low
-117.99,34.09,19,4637,2,10988,424,0.9573,high
-118.22,34.04,22,3565,331,1425,626,5.9915,high
-120.72,33.93,16,7876,1093,8738,535,1.8911,low
-118.12,33.93,36,2698,292,2778,219,3.4868,high
-116.15,34.14,37,3876,244,26,457,6.2275,high
-122.41,33.93,39,1479,209,642,269,3.3036,low
-122.01,34.71,37,695,423,3895,464,8.2782,low
-115.56,34.09,39,5383,495,3132,757,4.9833,high
-118.26,33.96,41,2628,382,1380,350,5.5797,high
-122.13,34.04,37,4999,485,75,146,2.4866,low
-118.27,33.99,21,3029,323,1412,1534,4.1731,low
-116.2,34.04,36,7437,331,2141,460,5.3816,high
-117.27,33.9,37,260,734,930,354,2.5506,low
-122.25,32.74,37,461,394,848,254,2.1863,low
-118.17,33.88,36,5104,331,1290,295,2.8445,low
-122.28,34.09,17,16759,569,1051,251,5.7907,high
-118.27,34.02,26,4873,438,2052,280,2.7344,high
-122.26,37.77,37,5470,406,551,483,3.443,low
-117.99,34.14,37,2411,503,740,545,7.5274,high
-118.27,34.04,47,4475,296,775,877,3.2235,high
-120.84,37.05,37,2288,1417,2818,460,2.806,low
-122.42,33.88,36,10191,331,6234,976,2.8807,low
-118.36,34.04,41,4101,453,1034,251,7.5274,high
-118.32,34.03,37,2628,294,2042,280,4.8554,low
-118.44,34.03,39,4101,511,9671,422,3.463,high
-117.93,34.09,22,17377,276,1786,269,3.8365,low
-118.26,33.9,37,2155,388,1517,297,7.5274,low
-118.16,33.97,41,5897,455,220,210,1.8911,high
-121.9,33.93,5,3029,348,1400,210,1.2969,high
-116.9,33.9,22,1738,309,983,478,4.7022,high
-118.17,33.97,37,6338,284,955,392,3.2176,high
-118.12,34.17,36,15201,1292,2912,251,2.7054,high
-122.23,33.93,21,1797,411,643,386,6.0783,high
-118.75,33.88,22,5654,334,535,2426,2.5781,low
-118.27,33.9,37,2949,388,927,297,7.5274,high
-122.22,34.02,44,1451,331,1039,845,5.4032,low
-118.16,33.9,17,4999,623,3663,1067,4.0977,high
-118.15,38.53,19,5321,326,2157,27,5.64,high
-116.27,39.8,41,2185,640,1525,494,1.525,low
-118.17,34.04,39,1465,789,2807,269,1.9688,high
-118.35,37.75,36,4999,193,2203,424,4.4408,high
-118.36,34.09,17,7554,622,768,269,3.3917,low
-121.91,33.97,22,3185,472,1786,109,12.1579,low
-118.15,33.9,37,3261,726,969,341,4.2654,high
-122.32,34.16,22,4101,271,2017,460,1.8429,high
-118.12,34.02,22,5654,400,817,386,2.7685,high
-122.14,34.09,41,2106,348,121,297,4.2941,high
-117.93,34.14,22,568,201,1235,68,1.8911,high
