longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value_binary
-120.0,38.93,48,732,101,4775,1906,3.8854,high
-119.26,35.13,4,1164,873,970,1017,2.9133,low
-122.93,36.8,45,6270,1241,3369,819,4.3227,high
-118.88,35.36,20,3573,965,189,2270,1.6513,high
-120.94,33.49,44,2066,47,699,2147,3.0658,low
-122.53,41.41,52,1641,1750,1082,1955,6.0256,low
-123.85,34.56,29,3284,485,3083,2230,5.9265,low
-119.59,41.74,36,3409,950,2062,332,4.3864,low
-121.02,37.17,6,1356,1301,1405,1300,6.8939,low
-123.82,40.06,2,9601,1161,3769,885,4.0769,high
-118.7,39.64,4,6572,731,2104,604,3.5462,high
-121.59,39.04,14,2800,926,579,185,3.6083,high
-116.25,39.64,8,2373,1254,982,665,5.4138,low
-114.98,33.65,25,6373,2190,2301,22,3.6694,high
-115.99,37.23,15,1491,1532,2523,280,4.5604,high
-122.08,32.96,2,2433,1467,1008,398,2.5592,high
-117.86,34.5,22,829,1222,1064,267,4.4015,high
-122.19,33.86,13,6258,738,1341,1187,5.0407,low
-119.23,37.58,43,3970,1747,1159,173,5.3046,low
-118.22,38.05,29,6107,20,2849,1437,2.7464,high
-122.22,40.68,9,14034,91,2948,100,3.3636,low
-120.16,34.17,23,996,652,199,1340,2.8058,high
-116.91,33.53,29,1044,4457,5032,179,5.583,low
-117.55,37.61,15,1930,1007,5278,266,3.3205,high
-118.82,35.67,23,2292,1474,862,16,10.586,low
-120.06,40.68,33,3506,319,2106,1427,2.6324,low
-119.14,37.8,6,545,495,3243,278,4.5427,low
-120.3,38.02,45,1421,11,2679,390,1.4138,high
-118.55,35.12,25,1364,486,3419,208,4.0987,low
-115.55,38.92,2,3261,374,1925,704,1.7566,low
-116.51,39.18,7,2827,281,1526,14,5.04,high
-120.43,34.98,18,3590,2988,3500,936,13.1738,low
-119.41,39.92,33,4230,1461,2782,132,1.7038,low
-116.91,41.4,43,4551,1141,1177,78,3.95,high
-120.31,39.06,43,10722,721,1856,781,3.6823,low
-118.74,40.9,52,912,1875,4936,869,4.8836,high
-119.59,35.65,50,5667,1980,3280,397,2.8922,high
-119.3,39.49,1,2316,1010,1943,468,8.284,high
-121.39,40.11,14,9902,844,1210,1558,2.3783,low
-119.63,36.61,43,654,661,619,530,4.744,high
-119.43,40.49,28,2404,1579,1897,1435,5.1948,low
-120.62,33.45,29,2722,268,4176,713,5.5771,low
-122.48,33.81,40,4368,1911,551,693,3.6484,low
-116.87,40.17,40,2133,473,2526,4072,2.3224,low
-118.31,36.7,47,861,370,3244,2579,6.9794,low
-119.19,38.62,15,1511,1612,1791,766,2.7118,low
-116.38,36.59,50,4049,1525,2411,802,1.7813,low
-122.44,37.74,27,6440,1095,2038,331,3.1853,low
-119.78,38.02,29,14348,1104,2162,1005,2.7632,high
-114.66,35.89,38,847,555,2723,169,2.2197,low
-119.65,33.27,11,2079,280,261,199,6.1001,low
-121.44,32.76,20,3434,339,908,484,4.9323,low
-122.15,39.18,45,2879,77,1781,1255,3.2569,low
-117.06,37.83,38,6995,50,213,956,6.3997,high
-117.76,38.07,15,17032,1379,1403,183,4.6583,high
-122.85,37.23,33,2391,993,8437,535,2.2982,low
-119.37,39.95,41,328,621,2365,1217,6.3298,high
-119.2,32.91,15,2714,2727,1698,359,2.619,low
-115.53,38.81,4,3929,398,494,1349,3.5104,high
-120.72,34.6,37,10281,656,984,630,4.0229,low
-121.28,35.14,29,3066,2604,2191,920,5.3661,high
-119.49,36.01,47,3817,350,6443,86,2.2292,low
-117.15,40.78,43,756,1144,3700,399,2.6587,high
-115.51,40.05,20,8836,684,2070,1591,2.6218,low
-116.61,36.94,9,1653,234,1615,259,1.2059,high
-124.09,35.73,7,3351,609,3059,2426,4.1366,high
-118.52,36.31,29,4415,652,727,299,4.1902,low
-121.18,39.52,47,2159,450,1825,232,5.5919,low
-115.99,39.3,4,3581,254,512,464,1.6483,low
-124.06,37.17,39,12689,248,1311,1430,2.0417,high
-118.99,40.42,45,6956,1085,1874,1767,2.2138,low
-121.3,33.27,16,3800,1747,397,2041,11.0911,high
-121.76,40.71,15,1051,2302,7560,562,0.977,low
-119.12,34.38,2,12526,1446,2320,935,3.4485,high
-118.15,35.5,47,410,675,3550,1402,4.5781,low
-117.17,36.33,4,1414,1237,2732,1909,8.9728,high
-116.56,36.32,13,1441,839,2283,917,7.1273,low
-117.13,40.52,7,1096,592,1203,1972,6.487,high
-117.98,35.3,28,1210,747,2605,1071,6.2579,low
-115.58,33.67,48,6711,1208,770,17,2.5737,low
-118.62,38.52,4,1150,1578,400,1415,3.3427,low
-124.27,33.18,2,973,409,4638,548,1.8086,low
-122.1,37.4,11,255,1655,2720,4176,3.4706,low
-120.94,41.86,3,2963,1180,1756,786,4.025,high
-118.57,40.24,29,434,1358,1323,340,3.6447,low
-116.53,39.95,15,952,746,1344,371,3.9408,high
-123.83,35.72,33,11115,155,631,409,2.9,low
-116.0,34.15,7,1549,2252,7249,765,5.2668,high
-123.37,40.67,11,1012,661,2450,1457,4.4187,high
-120.75,38.71,2,157,24,7270,1054,3.2104,low
-121.08,33.52,52,9653,9,399,965,1.9066,low
-124.0,34.1,36,3949,1326,2468,662,2.9306,low
-121.28,38.8,2,2488,1174,9509,1911,1.9535,high
-122.11,33.29,15,5405,2207,158,1972,1.1853,low
-119.8,35.35,15,4085,1299,842,1013,2.625,low
-120.35,37.69,48,8676,2604,2866,255,1.2545,high
-121.81,40.02,13,2168,2610,2122,1178,1.7991,high
-120.34,33.5,8,3549,1386,1421,833,2.6573,high
-114.67,34.07,15,5059,1349,2148,66,1.5328,high
-115.91,33.53,6,623,699,1841,188,3.4038,high
-117.39,33.15,31,3083,708,2773,1279,3.3675,high
-117.89,40.69,40,224,46,2089,519,3.3958,low
-119.49,40.42,52,7105,1944,1794,253,4.4063,low
-119.36,33.99,2,1982,1859,5495,2424,7.8453,low
-118.3,33.6,49,534,650,2990,285,5.7657,high
-118.66,36.08,43,845,959,66,937,1.7011,high
-116.09,39.02,33,1471,1131,1852,632,1.6232,low
-122.67,34.03,31,1198,1106,4131,555,6.4415,high
-120.18,36.9,29,745,1212,1624,1239,5.061,high
-119.68,38.75,29,8918,226,9936,205,1.1471,low
-123.64,35.03,6,1207,641,1801,1307,4.0536,low
-120.2,33.76,15,616,990,305,1315,4.2381,low
-124.18,33.14,40,6725,293,3200,980,2.3062,low
-116.66,37.67,29,2823,402,2496,1469,3.1579,high
-120.32,38.08,2,3064,500,3464,1818,2.7461,low
-123.17,36.25,9,3797,658,3920,745,4.1141,high
-123.04,38.94,52,8264,422,4656,1967,5.1814,low
-117.32,34.62,6,1132,2274,3823,451,5.4876,high
-122.48,34.97,7,4478,394,3667,852,5.6445,high
-117.99,37.93,43,3216,719,546,597,5.0143,high
-121.47,38.43,7,3153,499,2811,357,2.4688,low
-116.27,38.57,1,4755,1508,9936,888,2.9072,low
-120.34,38.98,32,3512,692,1612,597,5.64,high
-123.82,37.44,48,3970,110,2278,534,5.9275,low
-116.23,36.23,25,437,1312,2411,787,1.6515,high
-116.23,38.7,47,727,791,1715,568,2.2377,low
-123.03,39.02,14,4880,1957,722,1880,5.1265,low
-120.02,35.35,2,1485,1702,468,422,4.0521,low
-116.87,39.11,38,4193,782,1114,306,2.6292,high
-121.69,38.68,2,8953,718,582,1856,4.6587,low
-118.74,32.84,35,3565,756,301,1483,2.6386,low
-120.44,37.51,45,592,142,3911,62,2.5488,low
-121.91,39.09,44,3992,1208,235,1087,6.2893,high
-118.74,35.25,40,2769,319,1247,1558,5.9539,low
-117.21,40.02,20,2343,1366,2257,597,5.0714,high
