longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value_binary
-117.11,36.33,52,3690,294,1396,1514,10.3416,high
-118.75,33.35,43,916,890,1914,187,3.0101,low
-120.04,36.54,46,16181,1633,1389,663,5.7295,high
-119.14,37.84,40,5674,1193,2826,1456,9.1373,low
-117.0,39.69,33,2077,1146,1888,53,3.1201,low
-118.03,39.69,39,5188,408,2226,813,6.3699,high
-117.23,38.61,50,2858,1661,278,1338,5.8305,low
-116.72,33.29,35,2428,1803,265,367,5.4631,low
-121.79,38.68,26,5283,1352,9879,1345,2.3261,high
-120.85,39.45,17,3181,2685,896,923,5.7097,high
-120.2,41.26,10,1062,961,1868,250,3.4907,high
-118.44,33.5,41,1893,831,1463,1494,1.1742,low
-120.08,35.82,44,10035,1093,2663,1661,2.0579,high
-120.41,33.97,42,1150,742,3844,533,4.58,high
-123.08,37.05,13,4047,964,1226,285,3.4239,high
-118.44,37.42,40,3846,143,644,837,6.8007,low
-115.32,34.15,33,3742,226,4636,1076,3.7863,low
-121.3,38.13,51,6871,662,4323,346,2.3549,low
-121.72,40.31,30,3731,809,2803,1287,5.035,low
-120.39,35.76,26,9148,2501,2082,188,11.1768,low
-119.22,34.29,21,2168,204,5110,83,8.0639,high
-118.62,39.07,1,2564,781,2309,1209,4.9312,high
-117.29,32.64,35,2542,201,614,1135,3.7619,low
-119.57,37.93,1,4960,978,6437,2094,4.4712,low
-119.93,38.22,20,4382,647,3489,684,1.8431,high
-120.69,37.51,41,9446,2558,1436,298,2.3784,low
-124.08,33.0,37,5948,1439,2863,560,8.3996,low
-115.5,40.01,26,2717,1252,1847,71,2.5921,low
-118.57,34.76,27,3165,2293,2543,217,3.4634,low
-121.52,40.24,40,5546,677,2141,988,1.5217,low
-117.9,36.39,16,3239,6445,1355,845,2.225,high
-122.01,39.53,6,918,1913,639,2826,5.7762,high
-116.42,37.45,15,12259,1571,1247,1703,5.9369,low
-121.68,35.86,47,674,1202,1290,211,2.9798,low
-124.16,37.64,28,1822,1352,6303,837,11.4537,high
-121.2,32.95,25,4143,2726,1185,353,2.5352,high
-120.05,34.03,34,1394,2010,466,1338,1.6921,low
-118.2,35.0,35,2749,98,2125,1182,6.128,low
-123.13,40.39,39,2224,429,1507,1352,4.0062,low
-116.06,40.5,32,1516,396,1356,786,4.652,high
-116.18,32.71,31,1028,1768,1948,830,3.9728,high
-118.45,36.77,21,6119,1414,1354,970,2.6635,high
-117.79,33.35,22,1136,1593,2679,1168,6.0666,low
-123.03,37.46,10,3014,367,1278,554,5.7239,high
-121.48,33.98,36,2279,1321,1410,1505,2.7461,low
-119.83,33.29,5,1121,450,3473,1415,6.4001,low
-119.79,33.78,43,1535,1229,3543,121,4.3264,low
-122.75,39.23,28,2479,847,3087,254,2.0446,low
-117.84,33.23,52,5221,722,1825,1188,0.8172,high
-119.37,38.18,36,4201,2275,596,764,2.4808,high
-118.49,34.85,3,3231,1056,530,4072,1.6563,high
-123.54,33.65,17,2468,205,4419,532,5.3767,high
-121.45,34.51,31,3873,14,2143,340,5.8519,low
-119.88,39.39,29,2769,389,2465,2452,5.6687,low
-116.78,38.41,18,3119,210,4042,632,4.665,high
-120.21,40.71,37,5914,3521,3749,1666,3.38,high
-117.88,38.61,15,461,348,75,87,3.2955,low
-116.86,33.35,23,778,740,1125,414,1.4141,low
-117.49,38.75,32,5480,448,1622,690,3.851,low
-116.54,37.52,33,2533,946,1031,623,5.2145,low
-116.58,33.83,23,2403,1243,1587,1010,2.8192,high
-116.98,37.1,44,1200,1576,1497,763,2.9457,low
-121.37,39.93,43,1621,1455,2665,237,3.9808,high
-119.96,34.67,40,2205,1183,2236,1356,1.5076,high
-123.79,41.36,13,382,513,1855,2095,4.559,low
-124.11,32.93,23,1559,1070,3671,1544,3.8244,low
-121.44,37.33,34,7744,425,4847,179,10.2317,low
-118.08,36.86,9,3302,743,398,1584,5.1815,high
-118.2,37.02,14,1696,454,2547,2962,2.151,low
-121.71,35.02,50,2777,196,590,61,3.7672,low
-117.36,35.32,36,2419,2486,4885,122,2.3403,high
-119.02,38.23,34,5692,360,2847,718,1.6929,low
-116.05,35.48,2,1427,1767,3151,100,2.2227,high
-115.52,37.93,50,3586,450,1662,972,1.8365,high
-116.78,33.49,25,20377,1852,4797,182,4.1359,high
-122.34,39.09,51,1813,1256,1682,1986,2.9883,low
-118.29,35.9,40,2856,606,3645,1052,5.0464,high
-122.72,41.81,23,2886,284,3489,1128,1.5208,high
-123.2,39.03,26,4494,956,2038,161,3.1204,low
-116.58,33.81,40,4302,1052,350,367,2.7659,low
-117.0,33.78,18,3342,813,1576,323,6.3236,low
-119.88,36.6,26,96,1522,1672,1068,1.7179,high
-120.37,39.74,35,3835,1180,1388,681,6.7413,low
-119.52,41.36,37,9534,1529,1141,1150,3.7663,low
-118.41,33.33,5,2189,913,636,2666,1.9848,low
-119.48,32.74,13,1240,406,145,1623,3.4852,high
-119.52,36.25,38,1519,274,3059,17,7.2648,low
-117.65,39.74,26,58,1877,2930,29,4.1923,high
-119.22,34.19,27,4900,2193,2011,304,4.4437,high
-117.91,40.52,7,264,820,61,1347,5.347,high
-116.42,33.52,36,1216,325,2980,1844,1.9213,high
-116.85,36.96,24,4079,987,486,129,3.6852,high
-121.82,34.94,18,3192,988,437,477,1.8771,high
-121.57,34.37,16,15809,220,3455,356,6.8089,low
-122.45,41.88,52,2240,814,2133,597,4.445,high
-115.38,36.56,32,1959,2574,972,242,4.6765,high
-120.98,35.86,49,2505,1081,3502,353,4.7404,high
-116.63,36.1,41,1147,1791,2333,345,3.6856,high
-118.1,40.59,13,8146,21,2232,1223,6.6049,high
-119.0,35.63,20,5773,718,4579,1899,2.2417,low
-122.87,34.61,12,1254,1566,649,661,3.5819,high
-119.74,38.65,18,1074,280,1707,2118,3.0043,high
-122.0,39.26,24,6429,2549,3911,1436,1.1635,low
-116.92,38.7,34,7157,1117,730,1294,12.0088,high
-118.11,36.53,18,4099,721,1467,521,3.8992,low
-119.57,36.96,22,3342,1241,1334,397,3.1648,high
-116.91,37.63,30,24121,620,3326,963,5.615,low
-123.81,37.92,30,5218,354,139,398,3.3229,high
