longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value_binary
-119.89,33.73,27,1117,152,698,3112,3.7019,high
-120.83,33.67,30,2525,949,2177,335,5.3922,low
-119.17,33.78,25,4055,557,2187,139,2.1439,low
-121.86,37.12,36,6096,557,1025,287,2.5313,high
-119.39,38.07,28,1174,874,2021,581,4.517,low
-116.57,34.13,32,6096,487,699,275,1.9014,low
-116.57,33.67,28,3058,874,3321,1013,4.0519,low
-119.89,34.09,33,6096,487,1759,808,2.6613,low
-116.57,33.73,29,4026,1044,2690,818,5.3946,low
-120.29,35.6,27,19234,1570,1947,139,2.233,high
-121.09,36.04,52,1519,1296,3266,675,4.6765,high
-116.57,36.28,17,827,1316,2118,470,2.5259,low
-117.1,38.13,36,4270,150,875,2538,8.1714,low
-119.89,33.67,25,3124,249,2128,1149,1.5278,low
-120.58,38.75,27,4461,834,4406,928,4.6852,low
-116.34,33.78,32,2867,7,647,369,2.2214,low
-119.89,38.26,52,1662,1348,2189,11,5.6411,low
-116.5,34.09,43,3856,449,1633,715,2.3611,low
-118.44,35.22,21,3334,435,1513,928,2.1377,low
-121.6,38.2,32,908,449,4406,436,3.7092,low
-116.57,33.2,52,6725,145,1253,2515,2.1287,low
-119.89,38.18,29,2304,390,2622,3112,3.22,low
-118.87,41.12,17,6295,2045,2318,1707,3.4861,low
-120.58,35.67,25,852,88,2303,984,5.5336,high
-116.34,38.74,33,307,1043,1738,1032,2.5885,low
-121.49,36.69,25,2742,1539,1444,1032,2.6535,low
-116.34,33.07,26,9911,254,2679,3112,5.0519,high
-123.01,35.6,38,5468,691,1079,618,4.2143,low
-119.02,36.28,16,550,2453,1152,209,1.1667,low
-120.39,33.0,33,2027,24,819,935,2.3462,low
-118.63,34.19,38,4391,1302,4353,139,4.8017,low
-116.57,40.3,27,3917,758,1383,1605,6.46,low
-119.89,36.28,29,3050,1570,2101,1707,6.14,high
-120.8,41.31,29,5460,643,20,928,6.3517,high
-123.52,38.26,26,6096,1287,1816,139,4.4861,high
-121.97,34.09,16,4638,449,2416,1243,2.2992,high
-121.79,38.78,27,4321,874,1570,217,4.5699,low
-121.96,35.6,32,6617,879,2470,119,5.3245,low
-123.74,38.26,17,221,3114,13,957,2.9437,low
-123.85,38.93,38,2218,321,1169,3361,4.0337,low
-119.02,38.75,52,1204,1213,3269,1243,2.7188,low
-121.09,40.68,18,2419,2453,1166,1266,1.1552,low
-118.87,33.67,16,1816,1570,1210,928,4.7612,high
-118.42,34.13,33,10822,874,7228,470,1.0617,high
-116.57,39.45,16,380,1079,1192,1467,4.6463,low
-121.38,34.13,36,5777,1570,3423,461,3.5912,low
-117.51,38.09,36,4815,523,2070,178,3.7863,high
-122.54,33.73,5,2560,1232,156,2407,5.3707,low
-116.6,38.42,32,2903,1558,1417,928,3.4583,high
-121.09,33.67,25,314,828,1020,470,3.67,low
-121.09,36.11,18,5871,322,656,879,5.6613,low
-117.61,35.64,18,8072,53,992,647,4.5147,low
-117.97,36.41,52,6623,1689,7282,2447,2.9541,high
-122.7,38.26,25,3301,330,2749,3112,1.6921,high
-121.86,33.78,30,1857,1302,2249,876,13.1477,low
-122.76,35.6,37,3252,1570,3080,928,7.7846,low
-119.52,33.07,18,2780,449,2288,898,5.3006,low
-120.32,38.89,52,8389,1081,1477,2606,2.3421,low
-116.57,34.19,29,3180,435,5633,139,5.3913,low
-116.0,33.67,32,825,449,1990,454,5.9856,high
-116.73,36.71,16,8789,828,757,54,5.5714,low
-119.89,37.32,25,4390,435,2728,771,7.2982,high
-119.89,41.78,25,12980,585,3707,928,1.1868,low
-116.57,39.0,32,2250,1381,337,1527,2.8882,high
-118.44,34.13,17,1229,265,5666,1157,1.3967,low
-116.57,33.67,27,13796,1976,2118,715,4.9517,low
-118.44,38.26,25,6995,1570,718,470,2.1473,low
-118.44,37.92,28,1442,1570,1079,928,2.8614,high
-119.89,32.88,52,256,449,3123,928,3.5524,high
-121.09,33.97,16,1860,390,6600,139,1.8125,low
-115.53,40.09,36,21086,367,3131,37,5.7789,high
-121.09,38.6,38,4125,2552,2198,22,5.2415,low
-120.62,37.87,16,2412,1570,2588,733,5.2269,low
-122.12,36.18,27,6612,412,633,470,2.7173,low
-119.21,41.78,42,2738,539,3426,455,8.0599,low
-117.52,35.03,25,4776,1215,5229,679,1.9271,high
-121.09,40.43,25,1747,840,2693,304,2.6934,low
-116.9,32.88,32,2044,330,1399,768,7.1472,high
-118.44,33.67,5,631,354,3630,647,3.175,low
-116.58,33.74,28,45,81,2164,378,4.9833,low
-119.49,33.07,16,4016,449,2429,461,7.0549,low
-119.89,33.67,30,1080,596,2121,376,8.6123,low
-120.33,33.67,27,1379,1678,3095,1243,3.7635,low
-120.74,33.82,25,3562,874,2115,1024,1.3444,low
-121.55,38.74,18,314,46,849,818,2.5819,low
-119.89,38.75,42,939,1292,4406,470,3.4047,low
-116.57,37.14,42,3679,32,7228,139,2.3912,low
-122.12,36.28,17,1403,767,1787,470,3.016,low
-116.57,35.6,16,602,1570,1245,228,5.9449,high
-119.89,36.28,36,7646,390,3469,928,4.7833,low
-117.65,36.66,16,2700,1209,4353,470,5.6918,low
-116.17,35.03,16,2999,1260,13,478,6.0116,low
-120.58,38.71,25,5364,1600,1358,89,5.2374,low
-117.69,34.09,16,5923,1570,2949,694,2.3787,low
-118.44,38.52,52,3292,334,1830,667,6.0335,low
-116.82,34.54,25,4680,694,1304,2060,2.6445,high
-119.41,32.67,32,2274,152,7517,2060,2.4137,low
-120.07,38.04,27,2048,435,815,638,2.7652,low
-119.89,36.28,16,2679,1142,2597,1024,2.1006,low
-120.53,33.07,16,5827,88,2796,1332,6.3923,low
-120.74,35.23,38,3797,1271,2902,447,4.1319,high
-116.34,35.64,36,862,558,3294,1058,3.6086,low
-118.92,36.28,16,4698,435,1409,2538,3.7184,low
-114.68,34.13,32,1174,66,933,235,4.4213,low
-115.64,32.74,32,3807,721,1185,140,6.6265,low
