longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value_binary
-118.71,40.51,25,461,702,1855,155,2.0132,high
-118.26,37.71,52,3140,531,1527,2041,4.675,high
-116.76,33.23,8,1017,779,1999,238,6.1461,low
-117.8,37.6,19,969,898,2983,534,2.0644,low
-122.28,39.78,40,6275,1167,1143,1439,1.87,low
-118.94,34.15,35,1855,481,1355,623,3.1167,high
-117.25,38.95,52,577,2685,1620,1295,5.1473,high
-121.84,37.38,52,1769,513,1394,1184,2.1473,high
-120.71,39.54,41,5591,1111,582,1054,2.275,high
-122.85,36.7,1,1687,2139,4166,1503,4.2042,high
-117.9,33.97,23,8576,525,886,1180,9.9025,low
-121.53,37.31,14,3877,475,7679,9,6.2135,high
-117.98,36.83,2,1225,522,1635,720,2.5938,high
-119.38,38.1,52,7418,836,730,104,5.4306,low
-118.11,38.92,23,2382,277,1682,83,4.0804,low
-117.98,37.77,16,2548,920,2536,758,8.7783,high
-120.71,32.78,35,7095,550,889,430,6.9257,high
-121.42,34.12,15,1427,348,1843,497,8.0448,high
-121.26,33.85,52,1726,249,2378,3112,7.1837,low
-118.8,34.08,18,1448,187,1483,742,1.9631,high
-118.08,37.67,34,1753,306,1316,255,3.7014,low
-118.2,34.64,52,56,908,945,42,1.0333,low
-121.55,39.41,4,4651,2211,1110,631,3.4265,low
-122.75,41.6,32,4103,750,7775,2905,2.5387,low
-118.34,36.12,17,5451,997,1232,1338,1.2969,high
-117.19,36.61,27,3479,101,1457,2267,6.6345,low
-117.91,33.79,35,2808,830,2175,1557,3.5429,high
-121.28,34.19,52,1652,1332,1690,415,4.8966,low
-121.84,36.73,25,1933,527,721,241,3.6382,low
-119.53,37.32,25,851,366,1320,393,3.3026,high
-123.01,35.42,44,1524,1205,421,320,3.3831,high
-122.08,33.85,28,5780,388,2247,1555,2.8424,high
-117.72,40.86,38,3880,740,2954,352,4.4881,low
-115.84,37.13,42,3289,2751,184,257,3.9628,low
-120.89,39.31,25,794,358,3804,742,1.7552,low
-117.48,39.41,34,3082,1246,295,741,6.4891,high
-117.93,36.9,32,6015,170,1441,3478,4.0929,high
-117.81,39.4,35,561,1311,2061,2579,2.5954,low
-118.26,37.75,43,3998,416,2212,1116,3.0969,low
-118.36,33.83,32,3811,131,4558,331,3.5497,low
-115.32,34.33,52,2399,190,15037,2329,4.0965,low
-119.23,36.89,49,1063,1078,1917,92,3.3531,high
-118.06,38.65,45,4164,217,2560,573,6.0878,high
-117.13,33.55,16,4949,1493,217,700,3.1475,high
-121.3,33.9,16,1058,226,1917,291,5.2015,high
-120.63,37.76,20,1920,1558,2104,3028,0.9011,low
-116.63,38.61,32,1893,824,1751,988,3.3005,high
-117.14,34.04,36,5394,178,717,1180,2.9861,high
-118.2,34.03,27,1161,393,2707,106,2.7625,low
-122.23,37.75,14,3143,806,3409,217,2.0074,low
-120.72,34.07,39,1570,514,5913,319,0.7684,high
-121.3,32.73,31,3976,224,680,523,3.6946,high
-122.42,34.1,6,1999,872,1781,179,2.5598,high
-120.36,36.72,19,1561,123,2698,429,2.5143,high
-121.99,40.06,52,3279,484,259,2552,3.9722,high
-117.98,33.84,52,2841,1223,1443,923,2.9861,low
-122.38,39.61,34,1036,737,1310,1209,6.8553,high
-121.36,36.37,37,4527,495,1675,806,1.7375,low
-118.81,39.86,19,13703,888,2915,3931,1.7813,low
-121.64,37.37,23,9761,288,1807,934,4.2759,high
-122.79,34.16,6,89,134,1640,259,2.8,low
-117.29,38.04,14,5534,302,3323,654,3.0216,high
-122.48,38.84,23,2664,1171,1234,799,1.8913,high
-122.04,34.74,16,2438,619,534,706,4.4135,low
-121.69,34.51,18,594,1457,1035,246,7.9213,low
-120.1,33.25,36,151,557,1351,509,6.5382,high
-120.96,38.74,28,1650,776,120,717,7.0735,high
-118.13,39.59,26,2454,411,1769,420,4.8155,low
-116.98,33.97,31,315,1141,1539,914,3.1848,high
-120.02,33.11,20,2261,488,1881,2435,1.9323,low
-124.15,32.72,34,4420,469,7249,325,3.2266,high
-117.83,40.06,29,111,768,819,162,5.444,low
-118.41,37.74,14,5482,117,1144,185,3.6027,high
-117.18,36.23,32,8099,1635,943,328,1.4554,low
-120.24,33.82,19,730,109,1181,1135,4.9323,low
-116.67,37.37,36,6555,500,676,520,5.2759,high
-116.84,34.06,23,8651,765,586,1220,3.9143,low
-117.86,33.76,17,4155,1368,536,1264,4.1957,high
-116.26,40.12,19,10227,533,867,436,3.4561,high
-114.31,33.25,35,2964,681,1411,205,2.4667,high
-122.18,33.67,16,4780,146,4818,183,1.4375,high
-121.81,33.23,16,3183,684,2149,1076,2.9,low
-119.21,38.0,20,4642,2747,762,614,6.0712,low
-116.86,36.83,36,838,1432,1714,585,6.1009,low
-118.61,33.88,36,2641,1730,1167,30,4.0687,high
-121.99,37.3,29,2248,18,1868,487,3.9673,high
-116.0,34.09,16,4973,991,1252,639,2.6897,high
-121.8,34.03,19,5152,3933,1356,967,2.1074,low
-119.11,38.99,22,7095,1578,1101,613,5.1677,low
-118.14,39.2,39,3218,1413,1019,397,3.0043,high
-122.02,38.72,31,4464,425,977,368,1.4191,high
-118.67,34.0,17,1759,552,698,1449,3.1333,high
-117.95,33.98,19,2157,199,186,216,1.1853,low
-121.84,37.45,1,10077,422,12873,1163,3.4505,high
-117.23,37.99,35,3745,129,5633,133,3.3804,high
-117.21,38.12,19,7437,452,2115,533,3.0602,low
-118.05,33.69,52,3977,194,540,945,5.0497,high
-122.94,38.03,22,520,1110,1960,685,3.5066,low
-118.35,32.79,18,9320,705,2575,302,3.775,low
-117.31,33.85,52,2337,293,1882,1827,4.0109,high
-121.89,40.12,52,18,1082,22,1122,5.6716,high
-118.94,32.79,21,1126,1074,983,145,3.1832,low
-122.02,39.09,26,14912,916,3244,1767,1.4327,low
-117.98,40.79,52,12980,554,1737,865,4.1875,high
-122.02,37.82,19,1338,1041,1180,651,5.6403,low
-121.39,35.27,27,4166,1052,4445,373,5.1265,high
-119.12,39.9,40,3131,685,590,1286,1.3531,high
-116.67,38.82,32,238,1645,3604,1507,2.888,high
-121.57,40.59,52,1038,578,530,893,1.0467,high
-121.58,33.73,20,4724,536,9,559,1.6286,high
-122.08,33.7,9,1643,964,194,17,2.2443,high
