fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,type
6.2,0.865,0.35,12.7,0.051,63.0,182.0,0.99198,3.16,0.54,9.4,5,red
7.7,0.4,0.46,12.55,0.108,41.0,206.0,0.9988,2.83,0.71,12.9,5,red
6.7,0.33,0.49,1.4,0.16,25.0,126.0,0.99449,3.31,0.38,9.5,6,red
6.5,0.36,0.27,1.4,0.026,12.0,93.0,0.9936,3.4,1.22,10.7,5,white
7.5,0.35,0.49,9.2,0.046,30.0,130.0,0.99125,3.09,0.45,10.4,5,white
6.6,0.085,0.37,1.6,0.03,13.0,132.0,0.9966,3.07,0.49,12.3,6,red
12.2,0.29,0.44,65.8,0.085,28.0,217.0,0.9954,3.13,0.49,11.3,9,red
7.2,0.855,0.36,1.8,0.099,15.0,218.0,0.99342,2.97,0.41,9.4,7,red
9.1,0.725,0.33,14.05,0.04,24.0,167.0,0.994,3.26,0.36,10.5,6,white
11.1,0.21,0.34,12.2,0.041,10.0,162.0,0.99177,3.39,0.68,11.9,5,white
6.9,0.08,0.58,1.6,0.03,31.0,123.0,0.99579,3.28,0.37,12.8,7,white
8.1,0.26,0.33,2.2,0.031,15.0,130.0,0.9927,3.11,0.61,10.6,5,white
5.9,1.005,0.19,19.3,0.049,34.0,82.0,0.99693,3.07,0.39,11.0,5,white
7.2,0.31,0.34,14.8,0.03,25.0,124.0,0.99382,2.87,0.38,9.25,6,red
6.6,0.25,0.35,1.8,0.36,21.0,44.0,0.9921,3.12,0.69,10.4666666666667,6,white
6.7,0.345,0.47,3.0,0.119,6.0,115.0,1.0026,3.68,0.36,11.9,6,red
11.9,0.855,0.11,18.35,0.031,45.0,272.0,0.99346,2.96,0.35,12.5,6,red
6.8,0.965,0.31,1.6,0.028,25.0,113.0,0.9988,3.11,0.57,14.0,5,white
6.8,0.27,0.34,2.8,0.028,42.0,137.0,0.99344,3.16,0.53,10.1333333333333,6,white
9.1,0.36,0.05,8.2,0.166,5.0,148.0,0.9964,3.38,0.36,12.8,5,white
7.8,0.29,0.34,1.95,0.04,47.0,90.0,0.99577,3.33,0.46,9.4,6,white
8.4,0.36,0.32,1.65,0.048,40.0,87.0,0.99072,3.16,0.48,12.9,5,white
6.0,0.14,0.41,9.8,0.043,21.0,107.0,0.9979,3.1,0.33,10.8,6,white
6.7,0.58,0.34,2.3,0.066,14.0,170.0,0.99106,3.12,0.53,12.75,6,white
6.1,0.4,0.25,2.8,0.051,21.0,111.0,1.0004,3.11,0.45,9.4,7,white
7.8,0.25,0.38,1.4,0.053,5.0,77.0,0.992,3.29,0.39,11.4,5,white
7.5,0.17,0.28,12.4,0.061,38.0,115.0,1.00289,3.22,0.62,9.9,5,white
6.8,0.265,0.21,2.2,0.04,36.0,82.0,0.99842,3.11,0.86,11.0,6,red
6.1,0.2,0.25,14.2,0.043,14.0,18.0,0.99356,3.12,0.52,11.4333333333333,6,red
8.2,0.35,0.21,14.9,0.034,21.0,81.0,0.9942,3.34,0.56,9.8,7,red
13.7,0.19,0.12,5.2,0.028,67.0,82.0,0.9981,3.28,0.38,10.0,4,white
6.5,0.43,0.34,4.1,0.028,36.0,214.0,0.99823,3.2,0.35,12.4,6,white
6.0,0.4,0.27,1.2,0.035,30.0,123.0,0.99364,3.36,0.63,11.1,5,white
6.3,0.39,0.49,2.8,0.064,40.0,195.0,0.9962,2.74,0.44,10.8,7,white
7.5,0.16,0.35,1.6,0.054,33.0,128.0,1.0032,3.1,0.48,9.4,6,red
5.9,0.23,0.41,10.6,0.054,41.0,17.0,0.998,3.25,0.53,9.2,7,white
7.4,0.29,0.27,10.9,0.056,14.0,122.0,0.9945,3.04,0.59,11.2,5,white
5.3,0.43,0.27,1.4,0.095,16.0,249.0,0.99275,3.31,0.88,8.7,6,white
6.4,0.63,0.21,2.7,0.467,55.0,187.0,0.98995,3.0,0.51,11.1,6,white
7.7,0.64,0.33,1.5,0.171,29.0,114.0,0.99126,3.12,1.0,8.9,9,red
5.9,0.29,0.48,18.2,0.041,40.0,148.0,0.9924,3.12,0.4,9.3,6,red
7.6,0.32,0.3,10.65,0.066,42.0,177.0,0.99555,3.59,0.49,9.7,8,white
7.2,0.44,0.29,0.9,0.175,33.0,45.0,0.99814,3.71,0.25,9.6,6,red
8.2,0.18,0.74,2.7,0.113,51.0,27.0,0.99093,3.21,0.53,10.9666666666667,7,red
8.0,0.19,0.75,10.9,0.056,37.0,185.0,0.9945,3.0,0.44,9.4,6,white
6.6,0.37,0.02,1.5,0.051,17.0,182.0,0.99099,3.18,0.33,9.3,6,red
7.5,0.27,0.31,1.8,0.042,8.0,217.5,0.99606,3.11,0.38,11.05,7,white
8.0,1.04,0.34,2.1,0.037,53.0,145.0,0.99954,3.37,0.52,9.1,6,red
13.8,0.34,0.06,11.0,0.078,15.0,125.0,0.99331,3.38,0.53,9.23333333333333,7,white
7.7,0.35,0.3,7.3,0.079,38.0,183.0,1.0021,3.18,0.58,10.15,5,red
6.1,0.44,0.21,5.4,0.045,34.0,154.0,0.9966,3.37,0.77,11.5,6,white
8.2,0.28,0.41,2.0,0.039,33.0,93.0,0.9966,3.07,0.5,10.2,7,white
5.9,0.17,0.62,17.0,0.081,25.0,36.0,0.99685,3.31,0.56,10.0,5,white
8.2,0.25,0.35,2.3,0.081,10.0,48.0,0.99174,3.11,0.49,11.1,6,white
8.0,0.3,0.35,2.1,0.028,57.0,93.0,1.00025,3.26,0.49,10.8,6,white
9.7,0.63,0.55,11.7,0.031,9.0,121.0,0.9988,3.37,0.7,12.3,6,white
11.1,0.35,0.55,3.6,0.04,36.0,217.5,0.9952,2.94,0.43,9.0,6,white
6.9,0.7,0.42,1.3,0.033,79.5,171.0,0.99752,3.19,0.45,9.1,6,white
15.5,0.385,0.06,8.25,0.173,50.0,49.0,0.99595,3.16,0.59,11.2,6,white
7.7,0.28,0.34,4.5,0.173,29.0,104.0,0.99092,3.13,0.76,9.8,7,white
7.6,0.22,0.49,1.4,0.036,35.0,183.0,0.9994,3.25,0.46,9.1,6,white
10.5,0.71,0.4,8.7,0.036,73.0,82.0,0.99922,3.24,0.5,8.9,6,white
6.9,0.67,0.36,6.95,0.048,67.0,105.0,0.9928,3.38,0.44,12.5,6,white
7.1,0.38,0.28,9.65,0.157,24.0,89.0,0.99434,3.44,0.43,11.9,6,red
6.8,0.5,0.34,1.9,0.271,20.0,125.0,0.99192,3.1,0.59,9.9,5,white
8.2,0.43,0.23,2.2,0.056,41.0,103.0,0.99177,3.33,0.54,8.9,7,white
6.8,0.29,0.4,1.6,0.031,14.0,148.0,0.99922,3.1,0.46,12.4,5,white
7.7,0.28,0.38,2.3,0.036,5.0,93.0,0.98974,3.4,0.4,10.7,6,white
8.0,0.26,0.21,0.7,0.034,35.0,31.0,0.99782,3.26,0.47,11.7,6,red
6.2,0.31,0.0,1.6,0.048,67.0,217.5,0.9939,3.4,0.43,9.3,5,white
7.3,0.25,0.28,8.8,0.042,18.0,117.0,0.99736,3.19,0.69,10.8,6,white
6.7,0.18,0.38,2.3,0.03,25.0,132.0,0.99274,3.45,0.47,11.2,5,white
