fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,type
3.9,0.485,0.5,15.8,0.078,6.0,248.0,0.9914,3.34,0.29,11.0666666666667,5,white
5.1,0.84,0.29,11.6,0.211,17.0,8.0,1.0006,3.79,0.42,11.94,4,white
9.6,0.675,0.66,16.1,0.24,101.0,137.0,0.99641,2.98,0.23,13.9,8,white
7.2,0.865,0.76,10.7,0.039,41.5,196.0,0.99109,3.0,0.56,13.0,4,red
15.9,0.915,0.72,5.3,0.422,68.0,12.0,0.99704,3.63,1.36,11.85,6,white
6.0,0.44,0.18,19.6,0.184,17.0,307.5,0.99907,3.08,1.04,11.1,6,red
10.0,0.865,0.15,2.25,0.414,52.0,11.0,0.9972,3.71,0.36,11.2,7,white
6.7,0.74,0.72,17.95,0.08,52.5,256.0,0.99808,3.31,0.99,8.8,8,red
7.5,0.19,0.02,16.1,0.053,36.0,134.0,0.99518,3.3,0.57,10.15,7,red
15.9,0.675,0.78,12.8,0.211,10.0,67.0,1.0032,3.79,0.78,8.5,6,white
15.6,0.42,0.0,7.5,0.341,7.0,152.0,0.99534,3.12,1.98,11.65,3,red
11.7,0.21,0.7,11.1,0.25,39.0,193.0,0.99198,3.41,0.56,13.6,3,red
6.4,0.14,0.82,2.0,0.161,11.0,73.0,0.99322,3.57,0.79,9.23333333333333,4,white
6.6,0.29,0.0,9.4,0.069,73.0,124.0,0.99352,3.4,0.55,13.7,3,white
5.4,0.39,0.75,13.7,0.081,19.0,25.0,0.9936,3.46,0.23,12.25,4,red
4.4,1.02,0.41,11.1,0.101,46.0,253.0,0.99461,3.0,0.36,8.0,5,white
8.9,0.36,0.55,15.75,0.114,52.5,207.0,0.99216,3.31,0.92,10.0,6,white
6.1,0.695,0.62,8.3,0.145,18.0,98.0,0.9894,3.1,0.96,9.23333333333333,5,red
4.9,0.815,0.74,17.2,0.072,32.0,29.0,0.99549,3.18,0.4,10.15,7,white
15.0,0.48,0.99,2.0,0.046,43.0,72.0,0.99802,3.23,0.26,12.5,7,white
8.3,0.69,0.12,3.2,0.051,16.0,206.0,0.99704,3.01,1.0,11.2,4,white
4.9,0.76,0.06,1.7,0.209,40.5,159.0,0.99206,3.51,1.33,11.3,5,white
7.3,0.34,0.0,14.5,0.024,18.0,169.0,0.99744,3.41,1.95,11.3,7,red
8.4,0.705,0.14,17.35,0.107,9.0,197.0,0.99448,3.61,1.18,14.05,4,red
3.9,0.745,0.23,10.1,0.047,78.0,124.0,0.99689,3.41,0.96,12.3,4,white
13.0,0.12,0.02,14.9,0.08,80.0,171.0,0.99053,3.35,0.51,11.65,4,white
11.4,0.8,0.14,10.55,0.034,70.5,123.0,0.9938,3.15,0.38,9.63333333333333,5,white
13.8,0.22,0.3,12.6,0.017,76.0,74.0,0.9902,2.79,1.34,11.3666666666667,9,red
15.6,0.77,0.18,1.8,0.103,16.0,212.0,0.99354,3.62,1.13,13.6,6,red
4.6,0.15,0.7,14.15,0.127,38.0,170.0,0.99659,3.46,1.56,10.2,4,white
7.9,0.26,0.1,15.8,0.096,146.5,165.0,0.99058,3.2,0.68,11.6333333333333,4,white
10.2,0.905,0.27,9.5,0.028,98.0,248.0,0.9913,3.42,0.74,10.9333333333333,4,white
7.3,0.605,0.26,0.8,0.214,20.0,21.0,0.99302,3.49,0.37,9.6,6,white
6.6,0.89,0.28,1.95,0.042,23.0,118.0,0.99667,3.49,1.04,10.2,8,white
15.6,1.58,0.11,16.8,0.11,60.0,122.0,0.99211,2.79,1.02,11.35,5,white
7.8,0.315,0.59,13.15,0.103,131.0,153.0,0.99854,2.94,1.14,11.95,9,white
7.9,0.2,0.49,3.75,0.058,16.0,194.0,0.99758,3.69,0.94,12.15,8,white
8.0,0.645,0.28,14.5,0.113,2.0,234.5,0.99385,3.11,0.64,9.1,6,red
8.4,0.86,0.36,10.2,0.341,81.0,127.0,0.99077,2.74,1.22,12.3333333333333,6,white
