fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,type
9.2,0.865,0.66,20.3,0.027,82.0,157.0,0.99628,2.87,1.61,9.3,5,white
7.6,0.715,0.22,1.7,0.074,22.0,144.0,0.9949,4.01,0.53,10.1,6,white
6.6,0.29,0.29,9.8,0.035,30.0,27.0,0.99698,3.28,0.77,12.1,6,white
8.7,0.29,0.42,1.6,0.038,20.0,95.0,0.9966,2.77,0.46,10.0333333333333,5,white
6.5,0.67,0.42,2.0,0.415,7.0,192.0,0.99743,3.13,0.56,9.8,6,red
8.2,0.61,0.18,1.25,0.089,48.0,107.0,1.00098,2.94,0.37,10.5,5,white
7.1,0.16,0.19,17.35,0.048,14.0,90.0,0.98941,3.21,0.5,11.6,5,white
13.7,0.33,0.68,10.1,0.103,20.0,83.0,0.99577,3.65,1.02,10.9333333333333,4,white
6.0,0.87,0.29,10.0,0.057,41.0,108.0,0.99144,3.46,0.95,10.7,7,white
4.9,0.305,1.23,7.0,0.04,38.0,79.0,0.99976,3.27,0.48,12.0,5,red
9.7,0.36,0.11,10.9,0.071,12.0,146.0,0.99574,3.24,0.73,9.3,6,white
8.1,0.79,0.91,17.95,0.161,5.0,82.0,0.99464,3.21,0.47,12.1,7,white
6.3,0.11,0.32,1.6,0.057,17.0,218.5,0.99264,3.33,0.56,9.2,6,red
4.9,0.9,0.02,16.55,0.042,41.0,189.0,0.9926,3.68,1.05,9.73333333333333,6,red
4.9,0.33,0.35,12.9,0.081,36.0,120.0,0.99304,3.31,0.92,9.3,5,white
7.5,0.775,0.24,9.15,0.048,12.0,19.0,0.9899,3.27,0.79,8.8,5,white
7.4,0.2,0.21,3.0,0.058,146.5,78.0,0.99,2.88,0.89,9.1,5,red
9.6,0.2,0.4,18.3,0.038,17.0,153.0,0.99743,3.63,0.43,14.2,6,red
7.9,0.29,0.28,4.4,0.422,25.0,90.0,0.99094,3.28,0.57,13.05,7,white
8.9,0.325,0.45,7.75,0.036,2.0,40.0,0.99724,3.24,1.03,14.0,6,white
7.9,0.98,0.37,17.75,0.041,30.0,76.0,0.99569,3.33,0.5,10.1333333333333,6,white
7.0,0.31,0.37,9.15,0.032,21.0,137.0,0.99602,3.28,0.57,9.5,4,white
6.6,0.715,0.37,5.8,0.032,62.0,116.0,0.99442,3.1,0.65,8.0,6,white
6.6,0.585,0.18,11.95,0.09,65.0,235.0,0.99633,3.24,0.88,9.8,7,white
7.2,0.19,0.32,5.4,0.236,24.0,36.0,0.99481,3.39,0.49,12.2,7,white
6.3,0.715,0.49,16.0,0.24,6.0,18.0,0.99462,3.15,0.38,9.2,5,white
7.2,0.31,0.49,3.7,0.076,27.0,128.0,0.99616,3.27,0.33,9.6,5,white
15.9,0.73,0.24,3.2,0.075,122.5,171.0,0.99567,3.42,0.33,10.4,5,white
5.1,0.23,0.29,17.9,0.027,85.0,235.0,0.99364,3.08,1.04,9.5,6,white
11.2,0.575,0.3,4.55,0.226,6.0,219.0,0.9981,3.62,0.71,8.8,5,white
6.0,0.24,0.11,8.9,0.208,35.0,184.0,0.99569,3.3,0.44,13.5,5,white
6.2,0.37,0.37,10.2,0.133,112.0,154.0,0.99914,3.85,1.08,13.5666666666667,7,red
7.7,0.2,0.3,11.95,0.058,24.0,75.0,0.99319,3.29,0.67,9.5,5,white
6.6,0.18,0.17,2.1,0.045,21.0,202.0,0.99021,3.69,0.5,9.4,5,white
10.3,0.335,0.29,13.8,0.055,82.0,185.0,0.99441,3.19,1.02,10.8,5,white
12.7,0.355,0.26,17.2,0.137,95.0,195.0,0.99449,3.49,1.31,10.4,6,white
7.5,0.34,0.32,17.0,0.095,8.0,79.0,0.99198,3.22,1.95,12.25,5,red
8.8,0.32,0.24,4.35,0.148,49.0,155.0,0.99747,3.24,0.62,8.6,5,white
7.5,0.12,0.36,3.0,0.032,69.0,39.0,0.99374,3.31,1.08,10.3,5,white
5.0,0.315,0.29,2.5,0.035,55.0,47.0,0.99138,3.21,0.39,9.0,6,white
7.4,0.28,0.12,1.0,0.209,31.0,180.0,0.99322,2.97,0.57,10.55,5,white
6.2,0.36,0.27,3.7,0.074,77.5,110.0,0.98938,3.35,0.47,10.0333333333333,5,white
6.6,0.775,0.28,15.5,0.084,8.0,106.0,0.9918,3.18,0.49,12.0,5,red
6.0,1.07,0.28,2.8,0.015,20.0,161.0,0.98889,2.8,0.43,9.8,6,red
10.7,1.025,0.12,2.8,0.089,24.0,159.0,0.99841,3.56,0.88,10.4,7,white
7.4,0.23,0.32,6.65,0.033,19.0,16.0,0.99941,3.12,0.4,10.65,5,white
7.9,0.21,0.24,13.4,0.045,19.0,49.0,0.99822,3.38,0.52,10.0,5,white
8.1,0.855,0.28,15.8,0.138,6.0,86.0,0.98779,3.08,0.6,12.15,5,white
8.9,0.595,0.82,2.4,0.337,24.0,148.0,0.99379,3.12,0.4,11.7,6,white
8.1,0.27,0.03,18.3,0.201,5.0,121.0,0.99684,3.58,0.31,10.3,6,white
6.7,0.85,0.78,4.0,0.039,30.0,202.0,0.99636,3.16,0.56,12.75,5,white
8.2,0.63,0.4,1.8,0.401,43.5,206.0,0.99137,3.16,1.98,11.0,5,white
4.6,0.37,0.36,7.75,0.343,16.0,202.0,0.99915,3.77,0.3,11.4,5,white
9.5,0.33,0.3,14.1,0.083,20.0,207.0,0.9957,2.95,0.72,9.0,6,white
7.4,0.42,0.64,2.8,0.044,12.0,127.0,0.99089,2.77,0.5,10.6,5,white
6.8,0.355,0.51,2.2,0.037,43.0,11.0,0.9935,3.29,0.65,12.15,3,white
10.2,0.555,0.26,14.05,0.089,5.0,111.0,0.99406,3.29,0.61,9.53333333333333,4,white
7.6,0.325,0.15,18.05,0.053,21.0,126.0,0.99663,2.74,0.62,8.8,9,white
9.0,0.16,0.3,3.4,0.112,41.0,7.0,0.99158,3.39,0.56,9.3,6,white
6.3,0.77,0.12,3.5,0.038,6.0,157.0,0.999,3.11,0.38,12.8,6,white
7.0,0.2,0.26,12.9,0.049,49.0,180.0,0.99565,3.29,0.63,8.6,6,white
5.9,0.44,0.68,11.75,0.035,38.0,15.0,0.99464,3.9,0.9,12.1,7,white
13.0,0.115,0.09,16.6,0.161,32.0,143.0,0.98868,3.26,0.95,10.5,5,white
