fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,type
10.7,1.02,0.28,14.7,0.039,10.0,109.0,0.98964,3.16,0.51,9.6,7,red
7.9,0.775,0.49,10.2,0.205,29.0,127.0,0.9976,3.32,0.61,9.1,6,white
6.4,0.25,0.32,1.3,0.04,13.0,103.0,0.9978,2.99,0.45,9.4,6,red
6.6,0.26,0.25,1.1,0.051,14.0,186.0,0.99072,3.16,0.6,9.5,6,white
6.9,0.24,0.3,19.8,0.048,24.0,210.0,0.99075,3.49,0.95,11.7333333333333,5,red
6.6,0.33,0.28,3.3,0.039,18.0,76.0,0.99442,3.08,0.46,10.0,5,white
6.3,0.61,0.49,1.6,0.074,29.0,104.0,0.99332,2.99,1.07,9.3,6,white
6.6,0.28,0.41,2.4,0.039,27.0,127.0,0.99908,3.25,0.48,9.4,5,white
6.9,0.27,0.34,1.9,0.031,29.0,183.0,0.9898,3.13,0.49,10.4,6,white
6.8,0.22,0.27,4.25,0.028,43.0,237.0,0.99066,3.26,0.72,9.4,5,white
7.6,0.28,0.33,3.95,0.045,8.0,211.0,0.9925,3.25,0.47,12.0,5,white
6.6,0.52,0.28,20.4,0.047,16.0,174.0,0.99371,3.14,0.51,11.1,6,white
7.0,0.32,0.31,2.7,0.039,25.0,104.0,0.9936,3.18,0.49,10.5,6,white
10.4,0.2,0.32,1.6,0.039,34.0,129.0,0.99442,3.27,0.49,9.5,7,red
6.7,1.13,0.61,6.1,0.126,21.0,198.0,0.99578,3.22,0.93,9.0,5,white
13.0,0.3,0.29,11.75,0.029,26.0,152.0,0.99274,3.63,0.39,12.7,6,red
6.9,0.17,0.37,13.15,0.042,33.0,68.0,0.9997,3.29,0.59,11.6,6,white
6.4,0.835,0.36,4.9,0.048,27.0,128.0,0.9965,3.05,0.37,9.0,6,red
6.6,0.28,0.22,1.0,0.04,88.0,214.0,0.99476,2.99,0.45,10.2,6,red
6.8,0.2,0.28,65.8,0.415,65.0,156.0,0.99036,3.16,0.45,9.5,5,red
6.7,0.52,0.4,15.5,0.041,22.0,26.0,0.99199,3.33,0.48,10.0,6,white
6.9,0.2,0.28,2.0,0.024,24.0,156.0,0.9954,3.16,0.44,9.4,6,white
6.2,0.28,0.3,14.55,0.036,27.0,104.0,0.98998,3.14,0.45,10.5,6,red
5.8,0.25,0.29,18.95,0.039,37.0,7.0,0.99215,3.06,0.57,9.8,6,red
