fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,type
11.8,0.76,0.39,17.95,0.19,30.0,161.0,0.99352,3.03,0.33,11.65,5,red
7.9,0.34,0.01,1.6,0.019,57.0,80.0,0.99462,3.71,0.74,13.05,5,red
15.5,0.705,0.7,14.45,0.032,74.0,176.0,0.99328,3.05,0.32,8.7,5,white
10.6,0.16,0.6,4.65,0.079,54.0,155.0,0.99013,3.62,0.84,10.5,9,red
9.2,0.875,0.49,5.45,0.074,97.0,139.0,0.99174,3.21,0.84,12.3,5,white
8.2,0.545,0.24,12.7,0.132,66.0,25.0,0.99019,3.66,1.34,11.3,4,white
12.7,0.92,0.86,12.55,0.464,71.0,73.0,0.9976,2.83,0.59,11.0666666666667,7,white
5.5,0.865,0.06,16.9,0.031,59.0,48.0,0.99513,3.35,1.03,10.9333333333333,6,white
3.9,0.35,0.26,7.9,0.072,18.0,53.0,0.99076,3.78,0.76,10.9666666666667,4,white
10.5,0.735,0.78,9.7,0.105,2.0,9.0,0.99635,3.43,1.36,14.9,6,white
8.7,0.48,0.43,11.0,0.1,69.0,21.0,0.99538,3.0,0.38,10.5666666666667,5,white
8.6,0.615,0.13,19.45,0.036,63.0,282.0,0.99469,3.68,0.36,10.3,4,white
15.0,0.21,0.05,3.85,0.014,40.5,88.0,0.99854,3.42,0.62,13.7,8,red
11.7,0.735,0.19,6.55,0.109,77.0,133.0,0.99617,3.52,0.22,11.3666666666667,6,white
12.0,0.605,0.57,17.3,0.413,77.5,6.0,0.99538,3.44,0.94,11.85,8,red
11.3,0.855,0.63,14.55,0.024,18.0,103.0,0.99215,3.21,0.64,11.4,8,red
5.1,0.5,0.78,1.4,0.109,52.0,15.0,0.99654,3.46,0.78,9.55,5,white
12.3,0.765,0.79,1.35,0.018,20.0,198.0,0.99498,3.74,0.57,12.9,7,white
11.2,0.88,0.08,15.9,0.117,57.0,157.0,0.99634,3.37,0.85,13.3,7,white
10.9,0.8,0.64,17.35,0.12,1.0,215.0,0.99279,3.16,0.73,9.8,6,red
12.6,0.13,0.35,12.15,0.145,28.0,114.0,0.99441,3.12,0.9,11.1,6,red
3.9,1.115,0.2,14.4,0.211,64.0,123.0,0.991,3.48,0.89,11.65,9,red
11.5,0.975,0.48,3.9,0.36,2.0,173.0,0.99736,3.44,0.48,10.8,5,white
9.4,0.605,0.21,2.25,0.034,11.0,35.0,0.99439,3.38,1.07,13.4,6,white
15.0,0.37,0.13,17.7,0.19,14.0,104.0,0.99177,3.82,0.77,11.35,5,white
4.6,0.345,0.55,3.3,0.087,79.0,221.0,0.99548,2.74,0.88,10.1,3,red
11.0,0.585,0.14,7.8,0.079,67.0,237.0,0.99379,3.21,0.74,9.4,6,white
11.8,0.735,0.43,6.5,0.2,31.0,46.0,0.99385,3.75,0.42,10.4666666666667,7,red
4.7,0.69,0.02,5.95,0.047,39.0,171.0,0.99822,3.26,0.82,12.0666666666667,9,white
12.8,0.455,0.55,1.3,0.072,44.0,96.0,0.99495,3.22,0.53,10.9666666666667,5,red
11.6,0.32,0.75,15.3,0.25,10.0,86.0,0.98936,3.03,1.12,11.9,6,white
9.0,1.185,0.4,14.95,0.168,40.0,245.0,0.99654,3.46,0.42,10.98,7,white
13.0,0.16,0.39,8.9,0.11,110.0,166.0,0.99744,3.74,0.64,13.4,7,white
10.0,0.285,0.66,4.65,0.128,76.0,157.0,0.99495,3.51,0.37,11.05,6,red
5.7,0.765,0.09,16.3,0.067,63.0,156.0,0.99645,2.9,1.22,13.2,5,white
11.0,0.52,0.3,12.6,0.167,31.0,72.0,0.98916,3.0,0.69,9.55,8,red
15.0,0.86,0.34,12.15,0.016,9.0,212.0,0.99651,2.79,0.59,9.4,6,red
13.7,1.1,0.1,3.1,0.051,53.0,171.0,0.99114,3.24,0.7,10.9333333333333,5,white
9.3,0.44,0.04,3.4,0.038,36.0,156.0,0.9934,3.49,0.75,13.7,5,white
8.5,0.395,0.76,14.45,0.043,5.0,193.0,0.99474,3.43,0.5,11.0,8,red
10.7,0.25,0.99,15.1,0.157,79.0,234.5,0.99719,3.14,1.08,10.9666666666667,6,white
11.6,0.55,0.44,5.1,0.109,51.0,169.0,0.99677,3.65,1.03,9.8,8,red
9.1,0.765,0.43,2.1,0.088,34.0,104.0,0.99628,3.08,1.56,12.0666666666667,8,white
10.7,0.71,0.23,9.85,0.021,63.0,137.0,0.99155,3.28,0.27,10.0,5,red
6.1,0.48,0.45,6.0,0.171,17.0,40.0,0.99535,2.85,1.14,11.1,6,white
4.4,0.475,0.66,8.0,0.021,70.0,12.0,0.99865,2.99,0.43,13.05,5,white
10.5,0.49,0.63,19.3,0.044,86.0,303.0,0.99114,3.71,0.72,9.73333333333333,6,red
11.0,0.12,0.04,17.75,0.115,97.0,69.0,0.99906,2.82,0.61,10.9333333333333,5,red
9.4,0.29,0.37,7.0,0.115,69.0,117.0,0.9956,2.74,0.86,9.23333333333333,6,white
14.0,0.39,0.46,10.2,0.145,98.0,172.0,0.98913,2.86,0.55,9.6,6,white
10.2,0.31,0.5,1.35,0.051,86.0,87.0,0.99016,2.9,0.98,10.65,6,red
8.5,0.545,0.67,7.05,0.205,289.0,227.0,0.99851,3.02,1.14,11.55,6,white
8.9,0.88,0.49,10.65,0.046,57.0,205.0,0.99142,3.57,0.82,11.0666666666667,7,white
9.4,0.1,0.44,8.2,0.111,49.0,162.0,0.99242,2.98,1.56,14.0,5,white
9.0,0.715,0.46,11.45,0.127,7.0,189.5,1.00013,2.87,0.72,12.2,6,red
11.7,0.77,0.2,11.6,0.152,101.0,65.0,0.99408,3.56,0.58,11.6333333333333,6,red
11.3,0.25,0.63,17.3,0.201,12.0,89.0,1.00055,3.16,0.57,9.9,6,red
9.3,0.695,0.67,7.0,0.09,71.0,47.0,0.99373,3.43,1.22,10.0,6,white
10.4,0.89,0.44,7.2,0.136,38.0,162.5,0.99568,3.31,0.83,9.55,8,white
13.4,0.285,0.91,2.1,0.137,108.0,217.0,0.99481,3.32,1.36,11.2,7,white
8.9,0.495,0.58,16.7,0.016,70.0,77.5,0.99362,3.28,0.29,13.5,5,white
7.2,0.445,0.4,8.1,0.332,43.0,10.0,0.99261,3.26,0.56,10.0333333333333,6,white
14.3,0.93,0.62,17.9,0.038,79.0,44.0,0.99474,3.65,0.61,13.2,6,white
5.2,0.27,0.28,14.15,0.095,81.0,169.0,0.99514,2.89,0.52,12.2,9,white
7.3,0.475,0.67,1.25,0.12,146.5,116.0,0.98746,3.44,0.52,12.25,6,white
4.8,0.245,0.67,15.9,0.05,62.0,47.0,0.99473,2.96,0.39,9.2,6,white
6.3,0.58,0.18,12.8,0.036,22.0,119.0,0.99463,3.78,0.93,9.53333333333333,5,white
4.5,0.165,0.11,7.25,0.113,53.0,66.0,0.99224,3.28,1.07,11.7333333333333,5,white
8.0,0.38,0.12,15.5,0.413,50.0,35.0,0.99199,2.97,0.29,9.23333333333333,8,white
13.0,0.405,0.76,16.7,0.122,44.5,99.0,0.99838,3.52,0.43,9.53333333333333,9,white
6.3,0.35,0.68,2.6,0.102,76.0,63.0,0.998365,3.02,0.48,13.0,3,red
10.7,0.91,0.07,2.05,0.044,124.0,109.0,0.99052,2.83,0.77,12.75,6,white
5.9,0.24,0.76,4.9,0.05,86.0,46.0,1.0026,3.21,1.95,9.6,5,red
15.9,0.495,0.06,16.9,0.175,89.0,37.0,0.99574,2.94,0.44,12.15,5,white
10.3,0.21,0.78,0.7,0.369,22.0,221.0,0.99254,3.65,0.52,10.9333333333333,5,white
9.1,0.54,0.11,4.55,0.094,52.0,215.0,0.99344,3.25,1.36,8.8,5,white
6.6,0.91,0.33,14.15,0.102,51.5,41.0,0.99802,2.79,0.32,10.8,4,red
5.9,0.77,0.35,20.3,0.024,85.0,46.0,0.99935,3.16,0.88,11.0,5,white
9.4,0.87,0.09,1.0,0.065,48.0,99.0,0.99922,3.61,0.39,11.7,8,white
11.0,0.3,0.75,17.7,0.063,64.0,155.0,0.99269,3.49,0.5,14.9,7,white
9.0,0.53,0.55,4.9,0.387,44.0,178.0,0.99576,2.8,0.53,10.0,4,white
10.3,0.325,0.71,1.7,0.157,5.0,123.0,0.99467,3.4,1.95,10.98,8,white
9.7,0.5,0.15,17.7,0.341,59.0,15.0,0.99719,3.16,0.62,13.5,5,red
6.6,0.32,0.18,18.0,0.102,17.0,99.0,0.99488,3.28,0.34,12.9,3,red
5.9,0.215,0.13,2.5,0.044,58.0,158.0,0.99796,3.12,0.68,8.5,9,white
12.2,0.445,0.78,17.1,0.087,28.0,116.0,0.99823,3.17,0.61,10.4666666666667,5,white
6.0,0.575,0.59,7.5,0.121,45.0,19.0,0.9979,3.11,0.27,11.3333333333333,8,white
9.4,0.28,0.78,4.55,0.054,43.5,175.0,0.998275,3.69,0.62,11.5,3,white
6.3,0.77,0.7,65.8,0.057,27.0,15.0,0.9913,3.15,0.57,9.23333333333333,9,white
12.8,0.43,0.55,4.6,0.049,11.0,179.0,0.9937,3.78,1.12,8.6,3,red
10.3,0.27,0.17,5.35,0.467,52.0,242.0,0.99807,3.35,0.73,11.05,7,red
8.2,0.845,0.81,8.7,0.07,63.0,226.0,0.99142,3.4,0.23,11.0666666666667,7,red
6.9,0.585,0.48,7.75,0.085,21.0,73.0,0.99206,3.05,1.62,8.5,9,white
11.2,0.615,0.11,7.5,0.029,48.5,157.0,0.99517,2.92,1.56,13.6,6,red
6.0,1.185,0.03,16.55,0.172,73.5,73.0,0.99212,3.75,0.44,13.8,6,red
10.1,0.545,0.43,3.0,0.017,41.0,157.0,1.001,3.35,1.08,11.9,9,white
4.7,1.01,0.33,10.55,0.387,75.0,24.0,0.99368,3.02,0.27,12.0,8,red
6.9,0.47,0.69,10.05,0.091,40.5,227.0,0.99551,3.1,0.33,11.6333333333333,9,white
