fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,type
8.0,0.23,0.39,2.0,0.464,47.0,12.0,0.99745,3.19,0.44,9.3,6,white
6.7,0.3,0.14,7.85,0.044,14.0,122.0,0.9917,2.8,0.71,11.0,5,white
8.0,0.26,0.0,2.2,0.064,26.0,88.0,0.9917,3.21,0.4,9.4,5,white
6.0,0.61,0.17,2.0,0.048,40.0,112.0,0.9966,3.5,0.48,9.7,6,white
5.6,0.21,0.56,2.0,0.046,7.0,111.0,0.991,3.31,0.65,8.8,5,white
6.3,0.15,0.26,1.8,0.036,14.0,184.0,0.99037,3.11,0.42,14.05,6,white
7.0,0.665,0.62,1.6,0.049,82.0,195.0,0.99088,3.27,0.37,11.5,5,white
5.8,0.25,0.32,2.1,0.029,40.0,80.0,0.99902,3.32,0.54,9.0,6,red
6.4,0.36,0.07,1.3,0.046,61.0,153.0,0.9948,3.14,0.56,11.5,6,white
6.5,0.26,0.14,2.4,0.009,13.0,139.0,0.99062,3.05,0.39,10.4,6,white
5.9,0.21,0.4,7.0,0.054,29.0,134.0,1.00005,3.06,0.36,10.0,6,white
6.9,0.23,0.34,10.3,0.044,51.0,131.0,0.99625,3.39,0.42,11.3,8,white
8.3,0.37,0.27,9.5,0.044,54.0,69.0,0.99672,3.14,0.36,9.6,8,white
7.9,0.32,0.26,10.4,0.051,13.0,119.0,0.9928,3.44,0.5,10.0,7,white
7.1,0.575,0.31,3.4,0.028,10.0,121.0,0.9923,3.02,0.64,12.5,7,white
5.6,0.26,0.16,2.0,0.044,5.0,241.0,0.9874,3.14,0.35,8.8,4,white
6.8,0.24,0.0,7.4,0.047,61.0,139.0,0.99784,3.37,0.44,11.5,5,white
7.2,0.52,0.26,5.1,0.066,24.0,107.0,0.99662,3.14,0.7,9.2,8,white
