fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,type
6.8,0.26,0.24,1.6,0.033,13.0,307.5,0.9994,3.12,0.41,9.5,6,red
5.0,0.51,0.35,9.1,0.038,32.0,95.0,0.99461,3.12,0.46,9.1,6,white
5.0,0.19,0.2,4.1,0.048,15.0,174.0,0.99745,3.14,0.47,12.8,7,white
6.5,0.49,0.35,1.8,0.053,54.0,21.0,0.99572,3.51,0.49,9.1,5,white
8.4,0.23,0.26,0.9,0.071,21.0,115.0,0.9984,3.23,0.59,9.1,7,white
8.3,0.32,0.34,7.2,0.067,41.0,174.0,0.99562,3.33,0.44,10.2,6,red
6.7,0.25,0.47,14.45,0.035,23.0,198.0,0.99572,3.29,0.47,10.1,6,white
6.5,0.35,0.58,1.8,0.033,28.0,198.0,0.9933,3.25,0.5,11.1,7,red
6.6,0.2,0.49,2.0,0.036,22.0,84.0,0.98865,3.3,0.41,9.6,7,white
5.1,0.085,0.21,5.4,0.078,13.0,168.0,0.9982,3.18,0.44,9.0,6,white
6.7,0.25,0.26,1.4,0.027,33.0,166.0,0.99572,3.02,0.32,9.0,6,red
7.3,0.34,0.66,7.05,0.035,28.0,147.0,0.99336,3.14,0.32,9.9,8,red
6.8,0.7,0.49,5.0,0.024,48.0,108.0,0.99767,3.49,0.67,10.7,7,red
7.0,0.19,0.26,1.9,0.03,32.0,127.0,0.9918,3.08,0.57,12.4,6,white
6.0,0.26,0.12,1.9,0.046,33.0,178.0,0.99381,3.48,0.7,9.1,5,white
6.8,0.36,0.28,1.2,0.024,16.0,185.0,0.9963,3.18,0.46,11.0,7,white
7.1,0.2,0.49,8.65,0.04,18.0,174.0,1.0026,3.42,0.44,9.0,5,white
6.8,0.2,0.31,2.9,0.033,22.0,163.0,0.99627,3.42,0.53,9.1,6,white
6.5,0.4,0.63,14.2,0.046,47.0,127.0,0.99652,3.54,0.45,11.8,5,white
9.4,0.39,0.38,1.7,0.073,13.0,174.0,0.99406,3.36,0.47,10.8,6,red
6.5,0.25,0.01,2.5,0.082,28.0,38.0,1.001,3.25,0.58,11.4,7,white
13.8,0.21,0.34,8.1,0.049,49.0,94.0,0.99467,3.36,0.59,11.3,7,white
8.6,0.43,0.51,1.2,0.036,11.0,117.0,0.9987,2.94,0.41,11.4,8,red
6.5,0.29,0.67,1.9,0.071,36.0,205.0,0.995,3.2,0.44,11.4,6,red
7.6,0.32,0.23,1.5,0.04,35.0,80.0,0.98746,3.14,0.73,12.8,5,red
7.1,0.635,0.44,2.2,0.255,26.0,180.0,0.9924,3.28,0.46,11.2,6,red
6.8,0.18,0.12,1.0,0.027,52.0,21.0,0.99502,3.34,0.46,11.0,5,white
6.7,0.24,0.74,12.6,0.036,27.0,18.0,0.99562,3.16,0.68,12.4,5,white
